time,Azimuth,Pitch,Roll
8.604629,83.579,8.846,1.195
8.604820,83.827,8.720,1.107
8.605001,83.717,8.786,1.095
8.605439,83.683,8.775,1.249
8.605628,83.756,8.755,1.139
8.605819,83.785,8.741,1.124
8.605998,83.583,8.864,1.092
8.606179,83.756,8.758,1.123
8.685771,83.328,8.758,1.123
8.724099,83.328,8.758,1.123
8.783488,83.300,8.766,1.165
8.784906,83.218,8.819,1.136
8.785243,83.238,8.807,1.136
8.785572,83.202,8.829,1.136
8.785695,83.349,8.726,1.222
8.785836,83.299,8.767,1.163
8.785937,83.269,8.787,1.150
8.786217,83.267,8.794,1.122
8.786563,83.264,8.784,1.180
8.882125,85.451,8.784,1.180
8.902857,85.451,8.784,1.180
8.964552,85.360,8.845,1.122
8.964854,85.541,8.729,1.206
8.965115,85.345,8.860,1.081
8.965352,85.337,8.852,1.153
8.965561,85.540,8.739,1.149
8.965698,85.496,8.761,1.164
8.965985,85.465,8.781,1.153
8.966190,85.457,8.783,1.167
8.966567,85.533,8.742,1.151
9.084022,83.679,8.742,1.151
9.084505,83.679,8.742,1.151
9.144157,83.692,8.740,1.122
9.144577,83.696,8.726,1.179
9.145046,83.456,8.867,1.194
9.145354,83.596,8.803,1.093
9.145688,83.567,8.810,1.151
9.145971,83.717,8.734,1.079
9.146500,83.661,8.748,1.178
9.146978,83.809,8.675,1.095
9.147671,83.595,8.798,1.123
9.264611,83.595,8.798,1.123
9.282820,82.171,8.798,1.123
9.324049,82.219,8.760,1.162
9.324267,82.267,8.728,1.180
9.324605,82.127,8.823,1.122
9.324907,82.211,8.752,1.222
9.325134,82.080,8.816,1.280
9.325281,82.298,8.713,1.167
9.325386,82.233,8.742,1.208
9.325590,82.149,8.807,1.136
9.325713,82.123,8.816,1.166
9.443220,82.123,8.816,1.166
9.484150,83.426,8.816,1.166
9.506223,83.615,8.702,1.206
9.507360,83.493,8.767,1.224
9.508317,83.488,8.784,1.151
9.509942,83.429,8.815,1.164
9.510503,83.395,8.824,1.210
9.511042,83.551,8.740,1.193
9.511585,83.569,8.741,1.135
9.511827,83.467,8.785,1.206
9.512042,83.565,8.749,1.109
9.622536,83.565,8.749,1.109
9.684907,83.510,8.769,1.163
9.685415,83.495,8.769,1.163
9.685701,83.618,8.701,1.151
9.686494,83.516,8.762,1.139
9.686849,83.622,8.713,1.080
9.687329,83.537,8.748,1.150
9.687946,83.724,8.645,1.123
9.688236,83.527,8.762,1.107
9.688643,83.455,8.771,1.267
9.689183,83.464,8.795,1.124
9.803849,83.464,8.795,1.124
9.867438,83.477,8.779,1.167
9.867889,83.355,8.858,1.123
9.868268,83.495,8.777,1.124
